#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,instance,job,user
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:33.407Z,75137024,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:38.406Z,75145216,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:43.407Z,75153408,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:48.407Z,75153408,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:53.406Z,75161600,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:17:58.407Z,75194368,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:03.406Z,75210752,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:08.406Z,75210752,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:13.407Z,75218944,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:18.406Z,75227136,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:23.407Z,75235328,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:28.407Z,75243520,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:33.406Z,75251712,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:38.407Z,75259904,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:43.407Z,75268096,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:48.407Z,75276288,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:53.407Z,75276288,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:18:58.406Z,75284480,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:03.407Z,75292672,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:08.407Z,75300864,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:13.407Z,75300864,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:18.407Z,75309056,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:23.406Z,75321344,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:28.406Z,75337728,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:33.407Z,75345920,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:38.407Z,75362304,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
,,0,2023-10-27T20:00:00.341Z,2023-10-27T21:00:00.341Z,2023-10-27T20:19:43.407Z,75419648,node_memory_Buffers_bytes,prometheus_remote_write,b72f245628d6,PROXMOX,node_exporter,ivan
