"Time","TARGET"
2023-11-08 10:28:30,13.7 GB
2023-11-08 10:28:45,10.2 GB
2023-11-08 10:29:00,10.2 GB
2023-11-08 10:29:15,10.2 GB
2023-11-08 10:29:30,10.2 GB
2023-11-08 10:29:45,10.2 GB
2023-11-08 10:30:00,10.2 GB
2023-11-08 10:30:15,10.2 GB
2023-11-08 10:30:30,10.2 GB
2023-11-08 10:30:45,10.2 GB
2023-11-08 10:31:00,10.2 GB
2023-11-08 10:31:15,10.3 GB
2023-11-08 10:31:30,10.5 GB
2023-11-08 10:31:45,10.6 GB
2023-11-08 10:32:00,10.7 GB
2023-11-08 10:32:15,10.8 GB
2023-11-08 10:32:30,10.9 GB
2023-11-08 10:32:45,11.1 GB
2023-11-08 10:33:00,11.2 GB
2023-11-08 10:33:15,11.4 GB
2023-11-08 10:33:30,11.6 GB
2023-11-08 10:33:45,11.8 GB
2023-11-08 10:34:00,11.9 GB
2023-11-08 10:34:15,12.2 GB
2023-11-08 10:34:30,12.3 GB
2023-11-08 10:34:45,12.4 GB
2023-11-08 10:35:00,12.5 GB
2023-11-08 10:35:15,12.6 GB
2023-11-08 10:35:30,12.7 GB
2023-11-08 10:35:45,12.9 GB
2023-11-08 10:36:00,13.0 GB
2023-11-08 10:36:15,13.1 GB
2023-11-08 10:36:30,13.2 GB
2023-11-08 10:36:45,13.4 GB
2023-11-08 10:37:00,13.5 GB
2023-11-08 10:37:15,13.5 GB
2023-11-08 10:37:30,13.7 GB
2023-11-08 10:37:45,13.8 GB
2023-11-08 10:38:00,13.8 GB
2023-11-08 10:38:15,14.0 GB
2023-11-08 10:38:30,14.1 GB
2023-11-08 10:38:45,14.2 GB
2023-11-08 10:39:00,14.4 GB
2023-11-08 10:39:15,10.2 GB
2023-11-08 10:39:30,10.2 GB
2023-11-08 10:39:45,10.2 GB
2023-11-08 10:40:00,10.2 GB
2023-11-08 10:40:15,10.2 GB
2023-11-08 10:40:30,10.2 GB
2023-11-08 10:40:45,10.2 GB
2023-11-08 10:41:00,10.2 GB
2023-11-08 10:41:15,10.2 GB
2023-11-08 10:41:30,10.2 GB
2023-11-08 10:41:45,10.2 GB
2023-11-08 10:42:00,10.2 GB
2023-11-08 10:42:15,10.2 GB
2023-11-08 10:42:30,10.3 GB
2023-11-08 10:42:45,10.4 GB
2023-11-08 10:43:00,10.6 GB
2023-11-08 10:43:15,10.7 GB
2023-11-08 10:43:30,10.8 GB
2023-11-08 10:43:45,10.9 GB
2023-11-08 10:44:00,11.0 GB
2023-11-08 10:44:15,11.1 GB
2023-11-08 10:44:30,11.2 GB
2023-11-08 10:44:45,11.4 GB
2023-11-08 10:45:00,11.6 GB
2023-11-08 10:45:15,11.8 GB
2023-11-08 10:45:30,12.0 GB
2023-11-08 10:45:45,12.1 GB
2023-11-08 10:46:00,12.3 GB
2023-11-08 10:46:15,12.6 GB
2023-11-08 10:46:30,12.7 GB
2023-11-08 10:46:45,12.7 GB
2023-11-08 10:47:00,12.9 GB
2023-11-08 10:47:15,13.0 GB
2023-11-08 10:47:30,13.1 GB
2023-11-08 10:47:45,13.2 GB
2023-11-08 10:48:00,13.3 GB
2023-11-08 10:48:15,13.5 GB
2023-11-08 10:48:30,13.6 GB
2023-11-08 10:48:45,13.7 GB
2023-11-08 10:49:00,13.8 GB
2023-11-08 10:49:15,14.0 GB
2023-11-08 10:49:30,14.1 GB
2023-11-08 10:49:45,14.2 GB
2023-11-08 10:50:00,14.3 GB
2023-11-08 10:50:15,14.4 GB
2023-11-08 10:50:30,14.5 GB
2023-11-08 10:50:45,14.6 GB
2023-11-08 10:51:00,14.7 GB
2023-11-08 10:51:15,14.8 GB
2023-11-08 10:51:30,14.9 GB
2023-11-08 10:51:45,15.1 GB
2023-11-08 10:52:00,15.2 GB
2023-11-08 10:52:15,10.2 GB
2023-11-08 10:52:30,10.2 GB
2023-11-08 10:52:45,10.2 GB
2023-11-08 10:53:00,10.2 GB
2023-11-08 10:53:15,10.2 GB
2023-11-08 10:53:30,10.2 GB
2023-11-08 10:53:45,10.2 GB
2023-11-08 10:54:00,10.2 GB
2023-11-08 10:54:15,10.2 GB
2023-11-08 10:54:30,10.2 GB
2023-11-08 10:54:45,10.2 GB
2023-11-08 10:55:00,10.2 GB
2023-11-08 10:55:15,10.2 GB
2023-11-08 10:55:30,10.2 GB
2023-11-08 10:55:45,10.2 GB
2023-11-08 10:56:00,10.3 GB
2023-11-08 10:56:15,10.4 GB
2023-11-08 10:56:30,10.6 GB
2023-11-08 10:56:45,10.7 GB
2023-11-08 10:57:00,10.8 GB
2023-11-08 10:57:15,10.9 GB
2023-11-08 10:57:30,11.0 GB
